,VAE (reconstr err),VAE (latent prob),VAE (latent prior prob),VAE (reconstr err grad),NN (entropy),NN (max prob),PPCA (log prob),AE (reconstr err),LOF (outlier score),AnchoredNNEnsemble (entropy),AnchoredNNEnsemble (std),AnchoredNNEnsemble (mutual information),NNEnsemble (entropy),NNEnsemble (std),NNEnsemble (mutual information),LogReg (entropy),LogReg (max prob),MCDropout (entropy),MCDropout (std),MCDropout (mutual information)
2848,1287.6117,-19.7724,29.30789,83.154625,0.018112198,0.0017023087,2510.5086651236525,1.6790001,1.1841824217065415,3.7116028e-05,5.4214106e-06,5.9366466e-06,0.017092774,0.0009098223,0.00035768934,1.7588687984371204e-06,7.092760900828665e-08,0.027359817,9.313226e-10,-2.7753413e-07
8309,816.1732,-10.929164,22.642422,409.13895,0.12796882,0.017638683,1440.8741706880699,0.71627504,1.1621985920936773,0.03504046,0.008040984,0.007738294,0.19125327,0.0061015775,0.0009637922,0.013442749725553246,0.0012071450748216694,0.19789511,1.4901161e-08,-3.2782555e-07
15855,1578.774,-27.618994,40.7632,508.24152,0.020986073,0.0020192266,4386.847649264098,4.7588224,1.1960069277261802,1.2874472e-06,1.4685318e-07,7.960864e-08,0.020840509,0.0015053989,0.0009158682,-1.38138213772587e-08,2.1885715462133248e-11,0.034055986,1.1641532e-09,-4.209578e-07
5921,630.572,-15.979754,23.082882,454.0743,0.7944387,0.23963857,1340.8871727711385,0.65344065,1.0931664728196944,0.79736537,0.24188177,0.24378759,0.9098375,0.044849895,0.0066212416,0.9820318551585419,0.4212511677263252,0.7057061,1.1920929e-07,5.9604645e-08
11103,846.16766,-17.755695,24.158575,470.0844,0.20323986,0.031779706,1425.650395248752,0.7355752,1.0182929356675694,0.08554671,0.0258395,0.02755104,0.16015121,0.0074134218,0.0015793294,0.06537784088113295,0.007735805533657603,0.143717,1.1175871e-08,-6.2584877e-07
10908,631.67865,-18.166233,24.372885,616.2484,0.21935108,0.03509897,1233.386759877079,0.5238978,1.0797729713781723,0.9410905,0.31218553,0.35120255,0.3750734,0.0284662,0.008152306,0.862246331649204,0.28505413861953854,0.3118731,2.6077032e-08,-1.1026859e-06
563,-75.2717,-18.40017,24.408344,917.0111,0.08082357,0.01000458,1187.1424664740948,0.5477617,1.1298154050355225,0.008967609,0.0012855445,0.0012858538,0.06201508,0.0021746997,0.00044644997,0.3199286423073261,0.058118084610050635,0.08234563,3.7252903e-09,-2.2351742e-08
14458,935.14825,-8.344885,24.262392,147.37721,0.74149656,0.21000725,1407.7807126867006,0.79471123,1.413557116489893,0.9946519,0.28233913,0.2803855,0.8200048,0.04877741,0.009133279,0.5364046001655021,0.12246481021195144,0.89121485,8.940697e-08,-1.7881393e-07
3710,392.7027,-18.693687,25.838326,1149.0833,0.3912245,0.07691777,1363.1426299344698,0.781395,1.287692218380514,0.08069913,0.027773106,0.029104896,0.3031277,0.022427173,0.0072014034,0.5092915389140835,0.1131320799685086,0.31907037,1.4901161e-08,-5.9604645e-07
10052,311.01956,-17.899614,25.092596,3253.2354,0.77030665,0.22562516,1184.2045957522082,0.4724294,1.076624327833119,0.28082788,0.05134108,0.0427469,0.66318655,0.04109619,0.008975625,0.25878703976374506,0.04365068530458038,0.4493128,0.0,3.5762787e-07
