,AE (reconstr err),LOF (outlier score),PPCA (log prob),VAE (latent prior prob),VAE (latent prob),VAE (reconstr err),VAE (reconstr err grad),Number of models
824,True,True,True,True,True,True,False,6
6796,True,True,True,True,False,True,True,6
4145,True,True,True,True,False,True,True,6
191,True,True,True,True,True,True,False,6
7304,True,True,True,False,True,True,False,5
3796,True,True,True,True,False,True,False,5
2204,True,True,True,True,False,True,False,5
12207,True,False,True,True,True,True,False,5
16138,True,False,True,True,True,True,False,5
3236,True,False,True,True,True,True,False,5
6773,True,True,True,True,False,True,False,5
717,True,True,True,True,False,True,False,5
15998,True,True,True,False,True,True,False,5
2535,True,True,True,True,False,True,False,5
8848,True,True,True,False,True,True,False,5
17234,True,True,True,False,True,True,False,5
2222,True,True,True,False,True,True,False,5
5818,True,False,True,True,True,True,False,5
650,True,True,True,True,False,True,False,5
16743,True,True,True,True,False,True,False,5
2437,True,False,True,True,True,True,False,5
2440,True,True,True,False,True,True,False,5
15890,True,True,True,True,False,True,False,5
4897,True,True,True,False,True,True,False,5
2305,True,True,True,False,True,True,False,5
15451,True,True,True,True,False,True,False,5
13445,True,True,True,True,False,True,False,5
3965,True,True,True,False,True,True,False,5
10626,True,True,True,True,False,True,False,5
13463,True,True,True,False,True,True,False,5
10701,True,True,True,True,False,True,False,5
9779,True,True,True,True,False,True,False,5
6683,True,True,True,True,False,True,False,5
4178,True,True,True,True,False,True,False,5
232,True,True,True,False,True,True,False,5
919,True,False,True,True,False,True,False,4
5158,True,True,True,False,False,True,False,4
16382,True,True,True,False,False,True,False,4
10669,True,False,True,True,False,True,False,4
13271,True,False,True,False,True,True,False,4
8682,True,False,True,False,True,True,False,4
2792,True,True,True,False,False,True,False,4
6242,True,True,True,False,False,True,False,4
7156,True,False,True,True,False,True,False,4
12000,True,False,True,True,False,True,False,4
11084,True,False,True,False,True,True,False,4
141,True,False,True,True,False,True,False,4
4987,True,False,True,True,False,True,False,4
15856,False,True,True,False,True,True,False,4
6644,True,False,True,True,False,True,False,4
4594,True,False,True,False,True,True,False,4
10207,True,True,True,False,False,True,False,4
4236,True,False,True,False,True,True,False,4
5845,True,True,True,False,False,True,False,4
14667,True,False,True,True,False,True,False,4
4970,True,True,False,False,True,True,False,4
2187,True,True,True,False,False,True,False,4
2330,True,False,True,False,True,True,False,4
17097,True,False,True,True,False,True,False,4
13333,True,False,True,True,False,True,False,4
4945,True,True,True,False,False,True,False,4
15594,True,False,True,True,False,True,False,4
15192,True,True,True,False,False,True,False,4
17398,False,True,True,False,True,True,False,4
17219,True,True,True,False,False,True,False,4
4234,True,False,True,True,False,True,False,4
11951,True,False,True,True,False,True,False,4
14815,True,True,True,False,True,False,False,4
1903,True,False,True,True,False,True,False,4
15972,True,True,True,False,False,True,False,4
16657,True,True,True,True,False,False,False,4
9388,True,False,True,False,True,True,False,4
4500,True,False,True,True,False,True,False,4
12391,True,True,True,False,False,True,False,4
1205,True,True,True,False,False,True,False,4
1673,True,True,True,False,False,True,False,4
3303,True,False,True,True,True,False,False,4
16735,True,False,True,False,True,True,False,4
9278,False,True,True,False,True,True,False,4
13701,True,False,True,False,True,True,False,4
12823,True,False,True,True,False,True,False,4
5366,True,True,True,False,False,True,False,4
4958,True,True,True,False,False,True,False,4
9797,True,True,True,False,False,True,False,4
9421,True,True,True,False,False,False,False,3
4699,False,True,True,False,False,True,False,3
658,False,True,False,False,True,True,False,3
15290,True,False,True,False,False,True,False,3
10202,False,True,False,False,True,True,False,3
3416,False,True,False,False,False,True,True,3
6450,True,False,True,False,False,True,False,3
1476,False,True,False,False,False,True,True,3
3904,True,False,True,True,False,False,False,3
7155,False,True,True,False,False,True,False,3
3112,True,False,True,True,False,False,False,3
4997,False,True,False,False,True,True,False,3
13243,False,False,False,True,False,True,True,3
9298,False,False,True,False,True,True,False,3
7786,True,False,True,True,False,False,False,3
3868,True,False,True,False,True,False,False,3
6990,False,True,False,False,True,True,False,3
11783,False,True,False,False,True,True,False,3
7480,True,False,True,True,False,False,False,3
11791,True,False,True,True,False,False,False,3
15877,True,False,True,True,False,False,False,3
3824,True,False,True,False,True,False,False,3
11705,False,True,False,False,True,True,False,3
3046,False,True,False,False,True,True,False,3
14115,False,True,True,False,False,True,False,3
14216,True,False,True,True,False,False,False,3
2153,True,True,True,False,False,False,False,3
8224,True,False,True,True,False,False,False,3
16602,False,False,True,False,True,True,False,3
5808,False,True,False,False,True,True,False,3
3363,True,False,True,False,True,False,False,3
9689,False,True,False,False,True,True,False,3
2743,True,False,True,True,False,False,False,3
11748,True,False,True,True,False,False,False,3
16230,False,True,False,False,True,True,False,3
12966,True,False,True,False,False,True,False,3
12718,False,False,True,False,True,True,False,3
10906,True,True,True,False,False,False,False,3
2841,True,True,True,False,False,False,False,3
9136,True,False,True,False,True,False,False,3
9467,True,False,True,True,False,False,False,3
1630,False,True,False,False,True,True,False,3
14800,False,True,False,True,False,True,False,3
4967,True,False,True,False,True,False,False,3
11949,True,False,True,False,False,True,False,3
1774,True,False,True,True,False,False,False,3
17086,True,False,True,True,False,False,False,3
8491,True,False,False,False,True,True,False,3
14872,True,False,True,True,False,False,False,3
2645,True,False,True,True,False,False,False,3
2468,True,True,True,False,False,False,False,3
5086,False,False,True,False,True,True,False,3
15984,False,True,False,True,False,False,True,3
16160,True,True,True,False,False,False,False,3
7674,True,False,True,True,False,False,False,3
14478,False,False,True,False,True,True,False,3
2660,True,False,True,True,False,False,False,3
193,True,False,True,True,False,False,False,3
1094,False,True,True,True,False,False,False,3
15108,False,True,False,True,False,True,False,3
15752,False,True,False,False,True,True,False,3
6132,True,True,True,False,False,False,False,3
11259,False,False,True,False,True,True,False,3
12452,False,True,False,False,True,True,False,3
5694,False,False,False,False,True,True,False,2
10813,False,False,False,True,False,False,True,2
15447,False,True,False,False,True,False,False,2
11803,False,False,False,False,False,True,True,2
12167,False,True,False,True,False,False,False,2
16654,True,False,True,False,False,False,False,2
12449,False,False,False,False,False,True,True,2
1988,False,True,False,False,False,True,False,2
6039,True,False,True,False,False,False,False,2
15824,False,False,False,False,True,True,False,2
15473,True,False,False,True,False,False,False,2
16166,False,False,False,False,True,True,False,2
16632,False,True,False,False,True,False,False,2
12839,False,True,False,False,False,True,False,2
6476,False,False,False,False,False,True,True,2
3119,True,False,False,True,False,False,False,2
8367,False,False,False,False,True,True,False,2
16065,False,True,False,False,True,False,False,2
4108,False,True,False,False,True,False,False,2
3406,False,True,False,False,True,False,False,2
10265,True,False,True,False,False,False,False,2
17734,False,True,False,False,False,True,False,2
16676,False,True,False,False,False,True,False,2
10461,False,False,False,True,False,True,False,2
2258,False,False,True,False,False,True,False,2
6043,False,False,False,False,True,True,False,2
1054,True,False,False,True,False,False,False,2
4928,False,False,False,False,True,True,False,2
16540,False,True,False,False,False,True,False,2
5672,False,False,False,False,True,True,False,2
17421,True,False,False,True,False,False,False,2
3168,False,False,False,False,False,True,True,2
1913,False,False,False,False,False,True,True,2
11163,False,False,False,False,True,True,False,2
15009,True,False,False,True,False,False,False,2
9763,False,False,True,True,False,False,False,2
492,False,True,False,False,True,False,False,2
6068,False,False,False,False,True,True,False,2
2800,False,True,False,False,True,False,False,2
14902,False,False,False,False,False,True,True,2
6231,False,True,False,False,False,True,False,2
15405,False,True,False,False,True,False,False,2
9262,True,False,False,True,False,False,False,2
9783,False,False,True,True,False,False,False,2
12413,False,True,False,False,False,True,False,2
6040,False,False,False,False,True,True,False,2
15611,False,True,False,True,False,False,False,2
16167,False,True,False,True,False,False,False,2
9486,False,False,False,False,True,True,False,2
1958,False,False,True,False,False,True,False,2
12700,False,False,False,False,True,True,False,2
15134,True,False,True,False,False,False,False,2
7355,False,False,False,False,True,True,False,2
8967,True,False,True,False,False,False,False,2
4628,False,False,False,False,False,True,True,2
12982,False,True,False,False,True,False,False,2
1296,True,False,True,False,False,False,False,2
4796,False,False,True,False,False,True,False,2
5911,False,True,False,False,True,False,False,2
13294,False,True,False,True,False,False,False,2
405,False,True,False,False,True,False,False,2
13305,True,False,True,False,False,False,False,2
7846,False,False,False,False,True,True,False,2
3718,True,False,False,True,False,False,False,2
8685,False,True,False,False,True,False,False,2
580,False,False,True,True,False,False,False,2
12297,False,True,False,False,False,True,False,2
14238,False,True,False,False,True,False,False,2
10270,False,False,False,False,True,True,False,2
10165,False,False,False,False,True,True,False,2
7331,False,False,False,False,True,True,False,2
4552,True,False,True,False,False,False,False,2
7789,True,False,False,True,False,False,False,2
10697,False,False,False,False,True,True,False,2
14917,True,False,False,True,False,False,False,2
12466,False,False,False,True,False,True,False,2
4444,False,True,False,False,True,False,False,2
15590,False,False,False,False,True,True,False,2
4249,False,False,False,False,True,True,False,2
11107,False,True,False,False,False,True,False,2
10582,True,False,False,True,False,False,False,2
14376,False,False,False,False,True,True,False,2
11164,True,False,False,True,False,False,False,2
9065,False,False,False,False,False,True,True,2
3854,False,False,False,False,True,True,False,2
5552,False,True,False,False,True,False,False,2
10785,False,False,False,False,True,True,False,2
4307,False,False,True,True,False,False,False,2
17873,False,False,True,False,True,False,False,2
17434,False,False,False,False,False,True,True,2
5059,False,False,False,False,True,True,False,2
10412,False,False,False,False,True,True,False,2
6139,False,False,False,False,True,True,False,2
12310,False,True,False,False,True,False,False,2
3765,False,True,False,False,False,True,False,2
11145,False,True,False,False,False,True,False,2
16328,False,False,True,True,False,False,False,2
1873,False,False,False,True,False,True,False,2
12130,False,True,False,False,True,False,False,2
6816,False,True,False,False,True,False,False,2
2972,False,True,False,False,False,True,False,2
10500,False,True,False,False,False,False,True,2
4988,False,False,False,False,True,True,False,2
14580,True,False,False,True,False,False,False,2
14866,False,True,False,False,True,False,False,2
15101,False,True,False,False,False,True,False,2
12517,False,False,False,False,True,True,False,2
5741,False,False,True,True,False,False,False,2
16795,False,True,False,False,True,False,False,2
201,True,False,False,False,True,False,False,2
2723,False,True,False,True,False,False,False,2
5918,False,True,False,False,True,False,False,2
2895,False,False,False,False,True,True,False,2
8475,False,True,False,False,False,True,False,2
5063,False,True,False,False,True,False,False,2
16330,True,False,True,False,False,False,False,2
11897,False,False,False,False,True,True,False,2
7552,False,False,False,False,False,False,True,1
4669,False,True,False,False,False,False,False,1
5679,False,False,False,False,False,False,True,1
17257,False,True,False,False,False,False,False,1
7485,False,True,False,False,False,False,False,1
9061,False,True,False,False,False,False,False,1
4318,False,False,False,False,False,True,False,1
4886,False,True,False,False,False,False,False,1
14463,False,False,False,False,True,False,False,1
11173,False,False,False,False,False,False,True,1
15694,False,True,False,False,False,False,False,1
11108,False,False,False,False,False,True,False,1
370,False,True,False,False,False,False,False,1
4334,False,True,False,False,False,False,False,1
12336,False,False,False,False,False,False,True,1
10576,False,False,False,False,True,False,False,1
9428,False,False,False,False,True,False,False,1
6708,False,False,False,False,False,False,True,1
12638,False,True,False,False,False,False,False,1
15904,False,False,True,False,False,False,False,1
17462,False,False,False,False,True,False,False,1
3450,False,False,False,False,False,True,False,1
4591,False,False,False,False,False,False,True,1
10082,False,False,False,True,False,False,False,1
6589,False,True,False,False,False,False,False,1
13811,False,False,False,False,False,True,False,1
12795,False,False,False,False,False,False,True,1
16600,False,False,False,False,False,False,True,1
13259,False,True,False,False,False,False,False,1
3808,False,True,False,False,False,False,False,1
14482,False,True,False,False,False,False,False,1
12225,False,True,False,False,False,False,False,1
16528,False,False,False,False,False,False,True,1
15978,False,True,False,False,False,False,False,1
11805,False,False,True,False,False,False,False,1
7609,False,False,False,True,False,False,False,1
8611,False,False,False,False,False,False,True,1
3841,False,False,False,True,False,False,False,1
989,False,False,False,False,True,False,False,1
13969,False,False,False,False,False,False,True,1
3641,False,False,False,False,True,False,False,1
4460,False,False,False,False,False,True,False,1
16669,False,False,False,False,False,False,True,1
1856,True,False,False,False,False,False,False,1
11539,False,False,False,False,False,False,True,1
4933,False,True,False,False,False,False,False,1
2466,False,False,True,False,False,False,False,1
7241,False,False,False,False,False,False,True,1
12285,False,False,False,False,True,False,False,1
4008,False,False,False,False,False,True,False,1
13392,False,False,False,False,False,False,True,1
14196,False,False,False,False,False,True,False,1
6031,False,False,False,False,False,False,True,1
386,False,True,False,False,False,False,False,1
1628,False,True,False,False,False,False,False,1
1461,False,True,False,False,False,False,False,1
8547,False,True,False,False,False,False,False,1
15602,False,False,False,False,True,False,False,1
11737,False,True,False,False,False,False,False,1
15361,False,False,False,False,False,False,True,1
3500,False,True,False,False,False,False,False,1
12742,False,False,False,False,True,False,False,1
13450,False,True,False,False,False,False,False,1
12497,False,True,False,False,False,False,False,1
7411,False,False,False,False,True,False,False,1
2384,False,True,False,False,False,False,False,1
17577,False,True,False,False,False,False,False,1
15852,False,True,False,False,False,False,False,1
11441,False,True,False,False,False,False,False,1
11618,False,True,False,False,False,False,False,1
14981,False,True,False,False,False,False,False,1
1936,False,True,False,False,False,False,False,1
11821,False,True,False,False,False,False,False,1
5388,False,True,False,False,False,False,False,1
17691,False,False,False,False,False,False,True,1
17381,False,True,False,False,False,False,False,1
5869,False,False,False,True,False,False,False,1
7262,False,False,False,True,False,False,False,1
12328,False,False,False,False,True,False,False,1
5305,False,False,False,False,False,False,True,1
4986,False,False,False,False,True,False,False,1
9493,False,False,False,False,False,False,True,1
16499,False,False,False,False,False,False,True,1
2763,False,False,False,True,False,False,False,1
1700,False,True,False,False,False,False,False,1
10655,False,True,False,False,False,False,False,1
10848,False,True,False,False,False,False,False,1
4523,False,True,False,False,False,False,False,1
9288,False,False,False,False,False,False,True,1
12253,False,False,False,False,False,True,False,1
17598,False,False,False,False,False,True,False,1
6426,False,False,False,False,False,True,False,1
13452,False,True,False,False,False,False,False,1
4434,False,True,False,False,False,False,False,1
5085,False,True,False,False,False,False,False,1
2104,False,True,False,False,False,False,False,1
15737,False,False,False,False,True,False,False,1
6871,False,True,False,False,False,False,False,1
16228,False,True,False,False,False,False,False,1
13412,False,False,False,False,False,False,True,1
13878,False,False,False,False,False,True,False,1
11999,False,False,False,True,False,False,False,1
5498,False,True,False,False,False,False,False,1
14177,True,False,False,False,False,False,False,1
3536,False,True,False,False,False,False,False,1
9080,False,False,False,False,False,True,False,1
8708,False,False,False,False,False,False,True,1
9429,False,False,False,False,True,False,False,1
11989,False,False,False,False,False,False,True,1
15607,False,True,False,False,False,False,False,1
10445,False,True,False,False,False,False,False,1
1961,False,False,False,False,True,False,False,1
9009,False,True,False,False,False,False,False,1
4992,False,False,False,False,False,False,True,1
12174,False,False,False,False,False,True,False,1
3104,False,True,False,False,False,False,False,1
4595,False,False,False,False,True,False,False,1
9495,False,True,False,False,False,False,False,1
5628,False,True,False,False,False,False,False,1
11442,False,False,False,False,False,True,False,1
17448,False,True,False,False,False,False,False,1
16794,False,False,False,False,True,False,False,1
11254,False,False,False,False,False,False,True,1
7951,False,True,False,False,False,False,False,1
17287,False,True,False,False,False,False,False,1
17993,False,False,False,False,False,True,False,1
8640,False,True,False,False,False,False,False,1
13291,False,False,False,False,False,False,True,1
5618,False,True,False,False,False,False,False,1
14628,False,True,False,False,False,False,False,1
5164,False,False,False,False,False,False,True,1
11181,False,False,False,False,False,False,True,1
4728,False,False,False,False,False,True,False,1
15616,False,False,False,False,False,False,True,1
5738,False,False,False,False,False,False,True,1
14234,False,True,False,False,False,False,False,1
16346,False,False,False,True,False,False,False,1
2309,True,False,False,False,False,False,False,1
11826,False,False,False,True,False,False,False,1
2257,False,False,False,True,False,False,False,1
16430,False,False,False,False,False,False,True,1
7871,False,False,False,False,False,True,False,1
8235,False,False,False,False,True,False,False,1
