,LOF (outlier score),LogReg (entropy),LogReg (max prob),AE (reconstr err),NN (entropy),NN (max prob),PPCA (log prob),VAE (reconstr err),VAE (latent prob),VAE (latent prior prob),VAE (reconstr err grad),NNEnsemble (entropy),NNEnsemble (std),NNEnsemble (mutual information),MCDropout (entropy),MCDropout (std),MCDropout (mutual information),Number of models
6796,True,False,False,True,True,True,True,True,False,True,True,True,True,True,True,True,False,13
16657,True,True,True,True,True,True,True,False,False,True,False,True,True,True,True,False,False,12
16743,True,False,False,True,True,True,True,True,False,True,False,True,True,True,True,True,False,12
2440,True,False,False,True,True,True,True,True,True,False,False,True,True,True,True,True,False,12
12391,True,True,True,True,False,False,True,True,False,False,False,True,True,True,True,True,False,11
4249,False,True,True,False,True,True,False,True,True,False,False,True,True,True,True,True,False,11
191,True,False,False,True,True,True,True,True,True,True,False,False,True,True,False,True,False,11
4145,True,False,False,True,False,False,True,True,False,True,True,True,True,True,True,True,False,11
13701,False,False,False,True,True,True,True,True,True,False,False,True,True,True,True,True,False,11
2187,True,False,False,True,True,True,True,True,False,False,False,True,True,True,True,True,False,11
9136,False,True,True,True,True,True,True,False,True,False,False,True,True,True,True,False,False,11
6132,True,True,True,True,True,True,True,False,False,False,False,True,True,True,True,False,False,11
3965,True,False,False,True,True,True,True,True,True,False,False,True,True,True,True,False,False,11
7786,False,False,False,True,True,True,True,False,False,True,False,True,True,True,True,True,False,10
16382,True,False,False,True,True,True,True,True,False,False,False,True,True,True,False,True,False,10
10202,True,False,False,False,True,True,False,True,True,False,False,True,True,True,True,True,False,10
919,False,True,True,True,False,False,True,True,False,True,False,False,True,True,True,False,False,9
580,False,False,False,False,True,True,True,False,False,True,False,True,True,True,True,True,False,9
4728,False,True,True,False,True,True,False,True,False,False,False,True,True,False,True,False,True,9
12285,False,True,True,False,True,True,False,False,True,False,False,True,True,False,True,True,False,9
15936,False,True,True,False,True,True,False,True,False,False,False,True,True,False,True,True,False,9
17398,True,True,True,False,False,False,True,True,True,False,False,True,True,False,True,False,False,9
14376,False,False,False,False,True,True,False,True,True,False,False,True,True,True,True,True,False,9
6231,True,False,False,False,True,True,False,True,False,False,False,True,True,True,True,True,False,9
7331,False,True,True,False,True,True,False,True,True,False,False,True,True,False,True,False,False,9
13146,False,True,True,False,True,True,False,False,False,False,False,True,True,True,True,True,False,9
16967,False,True,True,False,True,True,False,False,False,False,False,True,True,True,True,True,False,9
10096,False,True,True,False,True,True,False,False,False,False,True,True,True,True,True,False,False,9
6816,True,False,False,False,True,True,False,False,True,False,False,True,True,True,True,True,False,9
9779,True,True,True,True,False,False,True,True,False,True,False,True,True,False,False,False,False,9
